,Brand,Model,Color,Seater,Rating,Warranty(Months),Cost after Discount(%),Original Cost,Discount(%),EMI,Shipping Days
0,Sleepyhead,Manaual,Brown,1,,12,14249,19999,29,685,2
1,Casacraft from Pepperfry,Norton,Brown,1,,36,40999,50999,20,1969,3
2,Royaloak,Nelson,,1,,12,13990,30000,53,672,2
3,Sleepyhead,Manaual,Black,1,,36,14249,19999,29,685,2
4,Duroflex,Avalon,Green,1,,12,18049,25399,29,867,
5,Nilkamal,Sierra,Brown,1,,36,17490,47900,63,840,
6,Casacraft from Pepperfry,Norton,Beige,1,,36,31999,42999,26,1537,4
7,Green Soul,Flexy,Grey,1,,36,15990,27990,43,768,2
8,Casacraft from Pepperfry,Norton,Brown,3,,36,79999,99999,20,3841,2
9,Duroflex,Avalon,Orange,1,,36,18619,26199,29,894,4
10,Green Soul,Shangri,Beige,1,,12,30990,60000,48,1488,2
11,Duroflex,Avalon,Tan,1,5,36,32999,46000,28,1585,
12,Mintwud from Pepperfry,Wakizashi,Grey,1,4.5,12,24999,35999,31,1201,2
13,Nilkamal,Sierra,Blue,1,4.5,12,17990,47900,62,864,2
14,Duroflex,Avalon,Beige,1,5,24,32999,46000,28,1585,
15,The Sleep Company,Luxe,Grey,1,5,36,35999,55390,35,1729,4
16,Mintwud from Pepperfry,Wakizashi,Beige,1,4.5,36,25999,35999,28,1249,4
17,Duroflex,Avalon,Blue,1,5,36,18049,25399,29,867,3
18,Mintwud from Pepperfry,Wakizashi,Red,2,4,60,36999,43287,15,1777,
19,Durian,Vivian,Green,2,5,12,198360,330600,40,9524,2
20,Green Soul,Comfy,Blue,1,4,12,18990,21990,14,912,4
21,Royaloak,Rio,Blue,1,5,36,29990,65000,54,1440,3
22,Royaloak,Milano,,1,4,12,75000,135000,44,3601,2
23,Nilkamal,Matt,Cocoa,1,,36,17990,65900,73,864,3
24,Duroflex,Avalon,Blue,1,5,36,18619,26199,29,894,
25,Royaloak,Wave,Beige,2,4.5,36,37000,70000,47,1777,4
26,Duroflex,Avalon,Green,1,,36,23464,32999,29,1127,
27,Casacraft from Pepperfry,Norton,Grey,3,,36,79999,99999,20,3841,
28,Mintwud from Pepperfry,Wakizashi,Blue,3,,36,65999,84999,22,3169,
29,Nilkamal,Matt,Blue,1,,12,17990,74900,76,864,3
30,Casacraft from Pepperfry,Norton,Grey,1,,36,40999,51999,21,1969,2
31,Royaloak,Denver,Beige,2,,12,72500,155000,53,3481,
32,Royaloak,Wave,Beige,1,,12,23000,45000,49,1105,3
33,Casacraft from Pepperfry,Norton,Brown,1,,36,31999,42999,26,1537,2
34,Casacraft from Pepperfry,Norton,Brown,2,,36,79999,99999,20,3841,
35,Royaloak,AUSTIN,,1,,12,29000,62000,53,1393,2
36,HomeTown,Bradford,Beige,2,,36,64900,179900,64,3117,4
37,Sleepyhead,Fabric,Green,1,4.5,20,23464,32499,28,1127,3
38,LA-Z-BOY,Cardinal,Mocca,1,5,12,242250,255000,5,11632,
39,Neudot,Ease,Blue,1,5,36,22749,34009,33,1093,3
40,Duroflex,Avalon,Beige,1,5,36,18049,25399,29,867,2
41,Duroflex,Avalon,Brown,1,4.5,36,26599,41999,37,1278,2
42,Casacraft from Pepperfry,Miami,Gold,2,4.5,36,199999,279999,29,9603,
43,Duroflex,Avalon,Brown,1,5,36,18049,25399,29,867,
44,Green Soul,Comfy,Grey,1,5,12,18990,21990,14,912,
45,Recliners India,Magna,Brown,1,5,36,23574,58300,60,1132,
46,Casacraft from Pepperfry,Loures,,,,36,224999,349999,36,10803,
47,Royaloak,Miami,Brown,3,5,36,85000,190000,55,4082,
48,Mintwud from Pepperfry,Kodachi,Beige,1,,36,24999,33280,25,1201,
49,Mintwud from Pepperfry,Taki,Cream,1,,36,26879,38999,31,1291,
50,Casacraft from Pepperfry,Norton,Brown,3,,36,69999,84999,18,3361,
51,Casacraft from Pepperfry,Norton,Grey,3,,36,69999,84999,18,3361,
52,Casacraft from Pepperfry,Norton,Beige,3,,36,69999,84999,18,3361,
53,Mintwud from Pepperfry,Yamamoto,Beige,1,,12,24999,37899,34,1201,
54,Durian,Valerano,Brown,1,,60,76320,127200,40,3665,
