Brand,Model,Color,Seater,Rating,Warranty(Months),Warranty(Years),Original Cost,Discount(%),Discount Amount,Final Price,EMI,Shipping Days,Price Category
Sleepyhead,Manaual,Brown,1,4.5,12,1,19999,29,5750,14249,685,2,Budget
Casacraft from Pepperfry,Norton,Brown,1,4.5,36,3,50999,20,10000,40999,1969,3,Mid-Range
Royaloak,Nelson,Brown,1,4.5,12,1,30000,53,16010,13990,672,2,Budget
Sleepyhead,Manaual,Black,1,4.5,36,3,19999,29,5750,14249,685,2,Budget
Duroflex,Avalon,Green,1,4.5,12,1,25399,29,7350,18049,867,2,Budget
Nilkamal,Sierra,Brown,1,4.5,36,3,47900,63,30410,17490,840,2,Budget
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,42999,26,11000,31999,1537,4,Mid-Range
Green Soul,Flexy,Grey,1,4.5,36,3,27990,43,12000,15990,768,2,Budget
Casacraft from Pepperfry,Norton,Brown,3,4.5,36,3,99999,20,20000,79999,3841,2,Premium
Duroflex,Avalon,Orange,1,4.5,36,3,26199,29,7580,18619,894,4,Budget
Green Soul,Shangri,Beige,1,4.5,12,1,60000,48,29010,30990,1488,2,Mid-Range
Duroflex,Avalon,Tan,1,5.0,36,3,46000,28,13001,32999,1585,2,Mid-Range
Mintwud from Pepperfry,Wakizashi,Grey,1,4.5,12,1,35999,31,11000,24999,1201,2,Budget
Nilkamal,Sierra,Blue,1,4.5,12,1,47900,62,29910,17990,864,2,Budget
Duroflex,Avalon,Beige,1,5.0,24,2,46000,28,13001,32999,1585,2,Mid-Range
The Sleep Company,Luxe,Grey,1,5.0,36,3,55390,35,19391,35999,1729,4,Mid-Range
Mintwud from Pepperfry,Wakizashi,Beige,1,4.5,36,3,35999,28,10000,25999,1249,4,Budget
Duroflex,Avalon,Blue,1,5.0,36,3,25399,29,7350,18049,867,3,Budget
Mintwud from Pepperfry,Wakizashi,Red,2,4.0,60,5,43287,15,6288,36999,1777,2,Mid-Range
Durian,Vivian,Green,2,5.0,12,1,330600,40,132240,198360,9524,2,Luxury
Green Soul,Comfy,Blue,1,4.0,12,1,21990,14,3000,18990,912,4,Budget
Royaloak,Rio,Blue,1,5.0,36,3,65000,54,35010,29990,1440,3,Budget
Royaloak,Milano,Brown,1,4.0,12,1,135000,44,60000,75000,3601,2,Premium
Nilkamal,Matt,Cocoa,1,4.5,36,3,65900,73,47910,17990,864,3,Budget
Duroflex,Avalon,Blue,1,5.0,36,3,26199,29,7580,18619,894,2,Budget
Royaloak,Wave,Beige,2,4.5,36,3,70000,47,33000,37000,1777,4,Mid-Range
Duroflex,Avalon,Green,1,4.5,36,3,32999,29,9535,23464,1127,2,Budget
Casacraft from Pepperfry,Norton,Grey,3,4.5,36,3,99999,20,20000,79999,3841,2,Premium
Mintwud from Pepperfry,Wakizashi,Blue,3,4.5,36,3,84999,22,19000,65999,3169,2,Mid-Range
Nilkamal,Matt,Blue,1,4.5,12,1,74900,76,56910,17990,864,3,Budget
Casacraft from Pepperfry,Norton,Grey,1,4.5,36,3,51999,21,11000,40999,1969,2,Mid-Range
Royaloak,Denver,Beige,2,4.5,12,1,155000,53,82500,72500,3481,2,Premium
Royaloak,Wave,Beige,1,4.5,12,1,45000,49,22000,23000,1105,3,Budget
Casacraft from Pepperfry,Norton,Brown,1,4.5,36,3,42999,26,11000,31999,1537,2,Mid-Range
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,99999,20,20000,79999,3841,2,Premium
Royaloak,AUSTIN,Brown,1,4.5,12,1,62000,53,33000,29000,1393,2,Budget
HomeTown,Bradford,Beige,2,4.5,36,3,179900,64,115000,64900,3117,4,Mid-Range
Sleepyhead,Fabric,Green,1,4.5,20,1,32499,28,9035,23464,1127,3,Budget
LA-Z-BOY,Cardinal,Mocca,1,5.0,12,1,255000,5,12750,242250,11632,2,Luxury
Neudot,Ease,Blue,1,5.0,36,3,34009,33,11260,22749,1093,3,Budget
Duroflex,Avalon,Beige,1,5.0,36,3,25399,29,7350,18049,867,2,Budget
Duroflex,Avalon,Brown,1,4.5,36,3,41999,37,15400,26599,1278,2,Budget
Casacraft from Pepperfry,Miami,Gold,2,4.5,36,3,279999,29,80000,199999,9603,2,Luxury
Duroflex,Avalon,Brown,1,5.0,36,3,25399,29,7350,18049,867,2,Budget
Green Soul,Comfy,Grey,1,5.0,12,1,21990,14,3000,18990,912,2,Budget
Recliners India,Magna,Brown,1,5.0,36,3,58300,60,34726,23574,1132,2,Budget
Casacraft from Pepperfry,Loures,Brown,1,4.5,36,3,349999,36,125000,224999,10803,2,Luxury
Royaloak,Miami,Brown,3,5.0,36,3,190000,55,105000,85000,4082,2,Premium
Mintwud from Pepperfry,Kodachi,Beige,1,4.5,36,3,33280,25,8281,24999,1201,2,Budget
Mintwud from Pepperfry,Taki,Cream,1,4.5,36,3,38999,31,12120,26879,1291,2,Budget
Casacraft from Pepperfry,Norton,Brown,3,4.5,36,3,84999,18,15000,69999,3361,2,Mid-Range
Casacraft from Pepperfry,Norton,Grey,3,4.5,36,3,84999,18,15000,69999,3361,2,Mid-Range
Casacraft from Pepperfry,Norton,Beige,3,4.5,36,3,84999,18,15000,69999,3361,2,Mid-Range
Mintwud from Pepperfry,Yamamoto,Beige,1,4.5,12,1,37899,34,12900,24999,1201,2,Budget
Durian,Valerano,Brown,1,4.5,60,5,127200,40,50880,76320,3665,2,Premium
Casacraft from Pepperfry,Santos,Grey,3,4.5,36,3,102999,27,28000,74999,3601,2,Premium
Casacraft from Pepperfry,Tierra,Tan,1,4.5,12,1,58999,27,16000,42999,2065,2,Mid-Range
Casacraft from Pepperfry,Carerra,Brown,1,4.5,36,3,45999,20,9000,36999,1777,2,Mid-Range
Casacraft from Pepperfry,Vintter,Brown,1,4.5,36,3,74999,35,26000,48999,2353,3,Mid-Range
Casacraft from Pepperfry,Valencia,Grey,1,5.0,36,3,50999,22,11000,39999,1921,2,Mid-Range
Casacraft from Pepperfry,Norton,Brown,1,4.5,36,3,57999,21,12000,45999,2209,2,Mid-Range
Casacraft from Pepperfry,Norton,Brown,1,4.0,36,3,57999,21,12000,45999,2209,2,Mid-Range
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,89999,21,19000,70999,3409,2,Premium
Casacraft from Pepperfry,Norton,Brown,3,5.0,36,3,109999,18,20000,89999,4322,4,Premium
Casacraft from Pepperfry,Norton,Brown,1,5.0,36,3,40999,17,7000,33999,1633,4,Mid-Range
Casacraft from Pepperfry,Norton,Brown,2,5.0,36,3,67999,21,14000,53999,2593,4,Mid-Range
Royaloak,Denver,Beige,1,4.0,12,1,80000,56,45000,35000,1681,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,57999,21,12000,45999,2209,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,5.0,36,3,57999,21,12000,45999,2209,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,50999,20,10000,40999,1969,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,2,4.5,36,3,89999,21,19000,70999,3409,2,Premium
Casacraft from Pepperfry,Norton,Brown,3,4.5,36,3,106999,16,17000,89999,4322,2,Premium
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,129999,19,25000,104999,5042,2,Premium
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,79999,13,10000,69999,3361,2,Mid-Range
Casacraft from Pepperfry,Norton,Beige,2,4.5,36,3,99999,20,20000,79999,3841,2,Premium
